type,rank,id,score,file_path,nearest_id,label,nearest_label,label_conflict,reason
dup,1,train_00666,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank001_dup1p000_train_00666__nearest_train_01056.png,train_01056,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9877; dup_source=phash
dup,2,train_01142,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank002_dup1p000_train_01142__nearest_train_00274.png,train_00274,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9953; dup_source=phash
dup,3,train_01004,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank003_dup1p000_train_01004__nearest_train_00731.png,train_00731,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9989; dup_source=phash
dup,4,train_01038,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank004_dup1p000_train_01038__nearest_train_00255.png,train_00255,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9767; dup_source=phash
dup,5,train_01056,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank005_dup1p000_train_01056__nearest_train_00666.png,train_00666,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9877; dup_source=phash
dup,6,train_00635,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank006_dup1p000_train_00635__nearest_train_00673.png,train_00673,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9845; dup_source=phash
dup,7,train_00624,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank007_dup1p000_train_00624__nearest_train_00860.png,train_00860,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9867; dup_source=phash
dup,8,train_00608,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank008_dup1p000_train_00608__nearest_train_01088.png,train_01088,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9959; dup_source=phash
dup,9,train_00605,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank009_dup1p000_train_00605__nearest_train_00258.png,train_00258,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9966; dup_source=phash
dup,10,train_00597,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank010_dup1p000_train_00597__nearest_train_00408.png,train_00408,1,0,True,dup_score=1.0000; nearest_cos_sim=0.9984; dup_source=phash
dup,11,train_01068,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank011_dup1p000_train_01068__nearest_train_00867.png,train_00867,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9979; dup_source=phash
